id_parameter,fech_d,prom_val
PM10,1995-01-01,170.018018018018
PM10,1995-01-03,142.3655462184874
PM10,1995-01-04,141.4420600858369
PM10,1996-01-11,136.42222222222222
PM10,1996-02-11,145.13829787234042
PM10,1996-02-23,129.88837209302326
PM10,1996-03-02,122.60849056603773
PM10,1996-03-16,123.52631578947368
PM10,1996-03-19,126.64788732394366
PM10,1996-03-20,125.20370370370371
PM10,1996-04-01,131.8177339901478
PM10,1996-04-15,132.04739336492892
PM10,1996-06-14,132.43809523809523
PM10,1996-06-21,122.64220183486239
PM10,1996-12-07,126.18095238095238
PM10,1997-01-01,121.8921568627451
PM10,1997-01-17,133.36274509803923
PM10,1997-01-18,150.43627450980392
PM10,1997-01-19,126.54901960784314
PM10,1997-01-25,128.67605633802816
PM10,1997-01-27,142.36764705882354
PM10,1997-01-28,142.1813725490196
PM10,1997-02-04,138.5072463768116
PM10,1997-02-07,140.00469483568074
PM10,1997-02-21,122.59803921568627
PM10,1997-02-22,129.16504854368932
PM10,1997-02-24,121.17224880382776
PM10,1997-02-25,131.805
PM10,1997-02-26,125.55837563451777
PM10,1997-02-27,128.51470588235293
PM10,1997-03-03,140.15023474178403
PM10,1997-03-04,167.2132701421801
PM10,1997-03-05,207.08823529411765
PM10,1997-03-10,125.28780487804877
PM10,1997-03-14,133.52582159624413
PM10,1997-03-15,121.09389671361502
PM10,1997-07-01,121.60696517412936
PM10,1997-12-10,129.15841584158414
PM10,1998-02-04,128.07207207207207
PM10,1998-02-24,122.68181818181819
PM10,1998-03-09,135.70305676855895
PM10,1998-03-10,146.86222222222221
PM10,1998-03-20,121.62946428571429
PM10,1998-03-31,134.90434782608696
PM10,1998-04-07,121.15416666666667
PM10,1998-05-02,122.7824074074074
PM10,1998-05-03,122.66666666666667
PM10,1998-05-04,141.06306306306305
PM10,1998-05-05,150.4078947368421
PM10,1998-05-06,171.65454545454546
PM10,1998-05-07,160.16176470588235
PM10,1998-05-08,149.03070175438597
PM10,1998-05-09,181.30941704035874
PM10,1998-05-10,165.97285067873304
PM10,1998-05-11,149.7285067873303
PM10,1998-05-12,152.93119266055047
PM10,1998-05-13,155.15068493150685
PM10,1998-05-14,179.70833333333334
PM10,1998-05-15,158.17727272727274
PM10,1998-05-16,134.36123348017622
PM10,1998-05-18,132.46118721461187
PM10,1998-05-23,134.14166666666668
PM10,1998-05-24,133.95726495726495
PM10,1998-05-25,131.67796610169492
PM10,1998-05-26,135.25316455696202
PM10,1998-12-19,163.20253164556962
PM10,2003-01-01,136.98601398601397
PM10,2003-12-25,163.46268656716418
PM10,2005-01-01,167.42156862745097
PM10,2006-01-01,136.5171339563863
PM10,2006-01-13,127.13541666666667
PM10,2006-03-16,142.7205387205387
