id_parameter,id_station,Total,Nulos
CO,ACO,61368,16543
CO,AJM,26304,2436
CO,ARA,184080,43623
CO,ATI,157176,41070
CO,AZC,105192,12535
CO,BJU,187776,27957
CO,CAM,61368,10279
CO,CCA,29976,2841
CO,CES,184080,32287
CO,CHO,96432,35217
CO,CUA,61368,11812
CO,CUI,70128,16694
CO,FAC,219144,18571
CO,HAN,122712,15934
CO,HGM,51408,4210
CO,IMP,219144,48246
CO,INN,20784,4787
CO,IZT,96432,13017
CO,LAG,219144,28694
CO,LLA,61368,42606
CO,LPR,61368,27541
CO,MER,280512,34436
CO,MGH,26304,2229
CO,MIN,184080,39325
CO,MON,78912,41820
CO,MPA,17088,2595
CO,NET,113952,40156
CO,NEZ,61368,13335
CO,PED,280512,28611
CO,PLA,201624,27326
CO,SAG,201624,36460
CO,SFE,51408,14664
CO,SJA,61368,16630
CO,SUR,133176,16374
CO,TAC,157776,13796
CO,TAH,78912,26345
CO,TAX,219144,46853
CO,TLA,280512,36137
CO,TLI,210384,35253
CO,TPN,35064,24693
CO,UAX,51408,4093
CO,UIZ,271752,57523
CO,VAL,140256,16667
CO,VIF,210384,42129
CO,XAL,280512,36958
NO,ACO,61368,14976
NO,AJM,26304,1995
NO,ATI,131496,21286
NO,AZC,70128,4391
NO,BJU,17544,702
NO,CAM,61368,11466
NO,CCA,29976,5513
NO,CES,70128,2576
NO,CHO,61368,42158
NO,COY,61368,13571
NO,CUA,61368,9091
NO,CUT,51408,7361
NO,FAC,131496,8713
NO,HAN,35064,6809
NO,HGM,51408,6475
NO,IZT,96432,12330
NO,LAG,70128,3168
NO,LLA,61368,32270
NO,LPR,61368,40674
NO,MER,131496,12744
NO,MGH,26304,2506
NO,MON,61368,12782
NO,NEZ,61368,13312
NO,PED,131496,8002
NO,PLA,61368,2750
NO,SAG,131496,15395
NO,SFE,51408,11209
NO,SJA,61368,19834
NO,SUR,106872,9304
NO,TAC,70128,5947
NO,TAH,61368,15511
NO,TAX,70128,9019
NO,TLA,131496,11732
NO,TLI,131496,11688
NO,TPN,36720,8017
NO,UAX,51408,3762
NO,UIZ,131496,9693
NO,VIF,131496,22061
NO,XAL,131496,10622
NO2,ACO,61368,14976
NO2,AJM,26304,1990
NO2,ATI,175320,37018
NO2,AZC,140256,13299
NO2,BJU,105192,15686
NO2,CAM,61368,11466
NO2,CCA,29976,5513
NO2,CES,219144,44834
NO2,CHO,61368,42158
NO2,COY,61368,13566
NO2,CUA,61368,9090
NO2,CUT,51408,7361
NO2,FAC,227928,36676
NO2,HAN,122712,19426
NO2,HGM,51408,6475
NO2,IZT,96432,12324
NO2,LAG,140256,9965
NO2,LLA,61368,32270
NO2,LPR,61368,40674
NO2,MER,280512,49623
NO2,MGH,26304,2503
NO2,MON,61368,12782
NO2,NEZ,61368,13308
NO2,PED,280512,33057
NO2,PLA,131496,10450
NO2,SAG,219144,31130
NO2,SFE,51408,11209
NO2,SJA,61368,19713
NO2,SUR,133176,16106
NO2,TAC,157776,18443
NO2,TAH,61368,15510
NO2,TAX,140256,17250
NO2,TLA,280512,50494
NO2,TLI,175320,19165
NO2,TPN,36720,8017
NO2,UAX,51408,3762
NO2,UIZ,201624,23117
NO2,VIF,201624,51000
NO2,XAL,280512,62521
NOX,ACO,61368,14976
NOX,AJM,26304,1990
NOX,ATI,175320,37018
NOX,AZC,140256,13299
NOX,BJU,105192,15686
NOX,CAM,61368,11466
NOX,CCA,29976,5513
NOX,CES,219144,44834
NOX,CHO,61368,42158
NOX,COY,61368,13566
NOX,CUA,61368,9090
NOX,CUT,51408,7361
NOX,FAC,227928,36676
NOX,HAN,122712,19426
NOX,HGM,51408,6475
NOX,IZT,96432,12324
NOX,LAG,140256,9965
NOX,LLA,61368,32270
NOX,LPR,61368,40674
NOX,MER,280512,49623
NOX,MGH,26304,2503
