id_parameter,Anio,Total,Nulos
CO,1986,96360,49669
CO,1987,131400,55732
CO,1988,131760,45889
CO,1989,131400,42648
CO,1990,131400,40893
CO,1991,131400,47731
CO,1992,131760,49094
CO,1993,157680,47378
CO,1994,175200,26085
CO,1995,219000,31875
CO,1996,219600,37144
CO,1997,201480,30937
CO,1998,201480,8209
CO,1999,201480,5354
CO,2000,202032,21362
CO,2001,201480,18998
CO,2002,201480,22447
CO,2003,201480,10613
CO,2004,202032,9010
CO,2005,192720,8961
CO,2006,192720,38407
CO,2007,166440,27105
CO,2008,158112,18601
CO,2009,157680,25350
CO,2010,148920,16645
CO,2011,192720,61186
CO,2012,216000,23272
CO,2013,227160,65963
CO,2014,231432,75602
CO,2015,245112,51140
CO,2016,263064,51808
CO,2017,262800,46200
NO,2003,166440,9143
NO,2004,166896,8697
NO,2005,157680,6824
NO,2006,157680,16404
NO,2007,157680,13685
NO,2008,158112,15540
NO,2009,157680,17853
NO,2010,148920,11613
NO,2011,210240,63544
NO,2012,241152,23541
NO,2013,245280,22593
NO,2014,248952,45362
NO,2015,257376,68930
NO,2016,254736,65129
NO,2017,254040,72557
NO2,1986,43800,29303
NO2,1987,43800,22483
NO2,1988,43920,23594
NO2,1989,43800,17423
NO2,1990,43800,11742
NO2,1991,43800,14905
NO2,1992,52704,24198
NO2,1993,87600,36860
NO2,1994,87600,18157
NO2,1995,140160,35179
NO2,1996,140544,28375
NO2,1997,140160,30846
NO2,1998,157680,14913
NO2,1999,157680,18464
NO2,2000,166896,24778
NO2,2001,166440,15922
NO2,2002,166440,15518
NO2,2003,166440,9143
NO2,2004,166896,8697
NO2,2005,157680,6824
NO2,2006,157680,16404
NO2,2007,157680,13685
NO2,2008,158112,15540
NO2,2009,157680,17853
NO2,2010,148920,11613
NO2,2011,210240,63544
NO2,2012,241152,23541
NO2,2013,245280,22593
NO2,2014,248952,45362
NO2,2015,257376,68930
NO2,2016,254736,65129
NO2,2017,254040,72409
NOX,1986,43800,29303
NOX,1987,43800,22483
NOX,1988,43920,23594
NOX,1989,43800,17423
NOX,1990,43800,11742
NOX,1991,43800,14905
NOX,1992,52704,24198
NOX,1993,87600,36860
NOX,1994,87600,18157
NOX,1995,140160,35179
NOX,1996,140544,28375
NOX,1997,140160,30846
NOX,1998,157680,14913
NOX,1999,157680,18464
NOX,2000,166896,24778
NOX,2001,166440,15922
NOX,2002,166440,15518
NOX,2003,166440,9143
NOX,2004,166896,8697
NOX,2005,157680,6824
NOX,2006,157680,16404
NOX,2007,157680,13685
NOX,2008,158112,15540
NOX,2009,157680,17853
NOX,2010,148920,11613
NOX,2011,210240,63544
NOX,2012,241152,23541
NOX,2013,245280,22593
NOX,2014,248952,45362
NOX,2015,257376,68930
NOX,2016,254736,65129
NOX,2017,254040,72409
O3,1986,78840,59100
O3,1987,78840,36462
O3,1988,79056,32698
O3,1989,78840,36879
O3,1990,105120,39528
O3,1991,105120,32744
O3,1992,114192,37453
O3,1993,131400,30106
O3,1994,166440,22307
O3,1995,166440,16923
O3,1996,166896,21371
O3,1997,166440,20429
O3,1998,166440,3380
O3,1999,166440,2332
O3,2000,175680,15229
O3,2001,175200,10345
O3,2002,175200,12581
O3,2003,175200,13640
O3,2004,175680,14914
O3,2005,175200,15832
O3,2006,175200,16603
O3,2007,192720,24322
O3,2008,193248,18350
O3,2009,192720,31314
O3,2010,192720,16550
O3,2011,201480,48460
O3,2012,224784,17361
O3,2013,244128,21452
O3,2014,248952,35010
O3,2015,277824,44745
O3,2016,298200,42227
O3,2017,297840,44833
PM10,1995,87600,7720
PM10,1996,87840,11993
PM10,1997,87600,15012
PM10,1998,87600,4368
PM10,1999,87600,1915
PM10,2000,131760,35193
PM10,2001,131400,18156
PM10,2002,131400,26869
PM10,2003,131400,25039
PM10,2004,131760,26137
PM10,2005,131400,23749
PM10,2006,131400,31135
PM10,2007,131400,24605
PM10,2008,131760,23196
PM10,2009,131400,28330
PM10,2010,122640,13555
PM10,2011,122640,23559
PM10,2012,138144,16193
PM10,2013,171912,17064
PM10,2014,175200,31182
PM10,2015,194904,35047
PM10,2016,210360,40570
PM10,2017,210240,54186
PM2.5,2003,70080,43905
PM2.5,2004,70272,6380
PM2.5,2005,70080,7587
PM2.5,2006,70080,7374
PM2.5,2007,78840,12313
PM2.5,2008,79056,8313
PM2.5,2009,78840,15143
PM2.5,2010,78840,10594
PM2.5,2011,96360,25821
PM2.5,2012,110592,14744
PM2.5,2013,113880,10735
PM2.5,2014,117384,18100
PM2.5,2015,148752,23608
PM2.5,2016,184008,51906
PM2.5,2017,183960,60151
PMCO,2012,76656,11413
PMCO,2013,78840,7453
PMCO,2014,78840,14100
PMCO,2015,103104,17913
PMCO,2016,122520,31180
PMCO,2017,122640,37984
SO2,1986,113880,74318
SO2,1987,122640,46276
SO2,1988,122976,44476
SO2,1989,122640,45723
SO2,1990,122640,59746
SO2,1991,122640,51839
SO2,1992,131760,49775
SO2,1993,148920,61566
SO2,1994,183960,27147
SO2,1995,227760,25759
SO2,1996,228384,20916
SO2,1997,227760,27843
SO2,1998,227760,6107
SO2,1999,227760,2610
SO2,2000,219600,16958
SO2,2001,219000,19739
SO2,2002,219000,38241
SO2,2003,219000,23298
SO2,2004,219600,44898
SO2,2005,210240,23249
SO2,2006,210240,24967
SO2,2007,227760,36404
SO2,2008,228384,25805
SO2,2009,227760,39214
SO2,2010,227760,32638
SO2,2011,201480,42149
SO2,2012,232368,23029
SO2,2013,236520,37484
SO2,2014,240192,36162
SO2,2015,252912,50750
SO2,2016,271728,51687
SO2,2017,271560,38566
