y.orderid,y.orderdate,y.delta
10250,1996-07-08,3
10256,1996-07-15,3
10262,1996-07-22,3
10267,1996-07-29,3
10273,1996-08-05,3
10278,1996-08-12,3
10284,1996-08-19,3
10289,1996-08-26,3
10295,1996-09-02,3
10300,1996-09-09,3
10306,1996-09-16,3
10312,1996-09-23,3
10317,1996-09-30,3
10323,1996-10-07,3
10328,1996-10-14,3
10334,1996-10-21,3
10339,1996-10-28,3
10345,1996-11-04,3
10350,1996-11-11,3
10356,1996-11-18,3
10362,1996-11-25,3
10369,1996-12-02,3
10377,1996-12-09,3
10383,1996-12-16,3
10390,1996-12-23,3
10398,1996-12-30,3
10405,1997-01-06,3
10412,1997-01-13,3
10419,1997-01-20,3
10426,1997-01-27,3
10433,1997-02-03,3
10441,1997-02-10,3
10448,1997-02-17,3
10455,1997-02-24,3
10462,1997-03-03,3
10469,1997-03-10,3
10476,1997-03-17,3
10483,1997-03-24,3
10490,1997-03-31,3
10498,1997-04-07,3
10505,1997-04-14,3
10512,1997-04-21,3
10519,1997-04-28,3
10526,1997-05-05,3
10533,1997-05-12,3
10540,1997-05-19,3
10548,1997-05-26,3
10555,1997-06-02,3
10562,1997-06-09,3
10569,1997-06-16,3
10576,1997-06-23,3
10584,1997-06-30,3
10590,1997-07-07,3
10598,1997-07-14,3
10605,1997-07-21,3
10612,1997-07-28,3
10619,1997-08-04,3
10626,1997-08-11,3
10635,1997-08-18,3
10643,1997-08-25,3
10651,1997-09-01,3
10660,1997-09-08,3
10668,1997-09-15,3
10676,1997-09-22,3
10685,1997-09-29,3
10693,1997-10-06,3
10701,1997-10-13,3
10710,1997-10-20,3
10718,1997-10-27,3
10727,1997-11-03,3
10735,1997-11-10,3
10743,1997-11-17,3
10751,1997-11-24,3
10760,1997-12-01,3
10768,1997-12-08,3
10776,1997-12-15,3
10788,1997-12-22,3
10801,1997-12-29,3
10813,1998-01-05,3
10826,1998-01-12,3
10838,1998-01-19,3
10851,1998-01-26,3
10863,1998-02-02,3
10876,1998-02-09,3
10888,1998-02-16,3
10901,1998-02-23,3
10917,1998-03-02,3
10935,1998-03-09,3
10951,1998-03-16,3
10967,1998-03-23,3
10984,1998-03-30,3
11002,1998-04-06,3
11017,1998-04-13,3
11034,1998-04-20,3
11050,1998-04-27,3
11067,1998-05-04,3
