hr,ORIGIN_AIRPORT,AIRPORT
07,SFO,Honolulu International Airport
09,SFO,Honolulu International Airport
12,SFO,Honolulu International Airport
13,SFO,Honolulu International Airport
15,SFO,Honolulu International Airport
16,SFO,Honolulu International Airport
19,SFO,Honolulu International Airport
06,SFO,Honolulu International Airport
08,SFO,Honolulu International Airport
10,SFO,Honolulu International Airport
11,SFO,Honolulu International Airport
14,SFO,Honolulu International Airport
17,SFO,Honolulu International Airport
18,SFO,Honolulu International Airport
