DAY_OF_WEEK,AIRLINE,min_delay
1,Virgin America,1
1,American Airlines Inc.,1
1,Delta Air Lines Inc.,1
1,United Air Lines Inc.,1
1,Alaska Airlines Inc.,1
1,Hawaiian Airlines Inc.,1
1,US Airways Inc.,1
4,Alaska Airlines Inc.,1
4,American Airlines Inc.,1
4,Hawaiian Airlines Inc.,1
4,United Air Lines Inc.,1
4,US Airways Inc.,1
4,Delta Air Lines Inc.,1
6,American Airlines Inc.,1
6,United Air Lines Inc.,1
6,Virgin America,1
6,Alaska Airlines Inc.,1
6,Hawaiian Airlines Inc.,1
6,Delta Air Lines Inc.,1
6,US Airways Inc.,1
2,Alaska Airlines Inc.,1
2,United Air Lines Inc.,1
2,Delta Air Lines Inc.,1
2,US Airways Inc.,1
2,Hawaiian Airlines Inc.,1
2,Virgin America,1
2,American Airlines Inc.,1
3,United Air Lines Inc.,1
3,Alaska Airlines Inc.,1
3,US Airways Inc.,1
3,Hawaiian Airlines Inc.,1
3,Virgin America,1
3,American Airlines Inc.,1
3,Delta Air Lines Inc.,1
5,United Air Lines Inc.,1
5,Hawaiian Airlines Inc.,1
5,Alaska Airlines Inc.,1
5,Delta Air Lines Inc.,1
5,US Airways Inc.,1
5,American Airlines Inc.,1
7,United Air Lines Inc.,1
7,Hawaiian Airlines Inc.,1
7,US Airways Inc.,1
7,Alaska Airlines Inc.,1
7,Delta Air Lines Inc.,1
7,American Airlines Inc.,1
