f.day_of_week,a.airline,minimo
1,American Airlines Inc.,0
1,Delta Air Lines Inc.,0
1,Virgin America,0
2,Alaska Airlines Inc.,0
2,American Airlines Inc.,0
2,Delta Air Lines Inc.,0
2,Hawaiian Airlines Inc.,0
2,US Airways Inc.,0
2,United Air Lines Inc.,0
3,Delta Air Lines Inc.,0
4,Alaska Airlines Inc.,0
4,Hawaiian Airlines Inc.,0
5,US Airways Inc.,0
6,American Airlines Inc.,0
6,United Air Lines Inc.,0
7,Alaska Airlines Inc.,0
7,US Airways Inc.,0
7,United Air Lines Inc.,0
1,Alaska Airlines Inc.,0
1,Hawaiian Airlines Inc.,0
1,US Airways Inc.,0
1,United Air Lines Inc.,0
2,Virgin America,0
3,Alaska Airlines Inc.,0
3,American Airlines Inc.,0
3,Hawaiian Airlines Inc.,0
3,US Airways Inc.,0
3,United Air Lines Inc.,0
4,American Airlines Inc.,0
4,Delta Air Lines Inc.,0
4,US Airways Inc.,0
4,United Air Lines Inc.,0
5,Alaska Airlines Inc.,0
5,American Airlines Inc.,0
5,Delta Air Lines Inc.,0
5,Hawaiian Airlines Inc.,0
5,United Air Lines Inc.,0
6,Alaska Airlines Inc.,0
6,Delta Air Lines Inc.,0
6,Hawaiian Airlines Inc.,0
6,US Airways Inc.,0
6,Virgin America,0
7,American Airlines Inc.,0
7,Delta Air Lines Inc.,0
7,Hawaiian Airlines Inc.,0
7,Virgin America,0
