f.origin_airport,ae.airport,cuenta
ATL,Hartsfield-Jackson Atlanta International Airport,169
ORD,Chicago O'Hare International Airport,162
DFW,Dallas/Fort Worth International Airport,148
DEN,Denver International Airport,139
MSP,Minneapolis-Saint Paul International Airport,120
IAH,George Bush Intercontinental Airport,119
DTW,Detroit Metropolitan Airport,112
SLC,Salt Lake City International Airport,89
EWR,Newark Liberty International Airport,88
LAX,Los Angeles International Airport,80
SFO,San Francisco International Airport,80
PHX,Phoenix Sky Harbor International Airport,79
LAS,McCarran International Airport,78
MCO,Orlando International Airport,74
SEA,Seattle-Tacoma International Airport,73
IAD,Washington Dulles International Airport,71
MDW,Chicago Midway International Airport,69
CLT,Charlotte Douglas International Airport,69
LGA,LaGuardia Airport (Marine Air Terminal),69
BWI,Baltimore-Washington International Airport,67
JFK,John F. Kennedy International Airport (New York International Airport),64
BOS,Gen. Edward Lawrence Logan International Airport,62
TPA,Tampa International Airport,61
FLL,Fort Lauderdale-Hollywood International Airport,59
DCA,Ronald Reagan Washington National Airport,57
MIA,Miami International Airport,55
DAL,Dallas Love Field,52
HOU,William P. Hobby Airport,51
STL,St. Louis International Airport at Lambert Field,49
BNA,Nashville International Airport,47
PDX,Portland International Airport,47
SAN,San Diego International Airport (Lindbergh Field),46
PHL,Philadelphia International Airport,46
MCI,Kansas City International Airport,42
AUS,Austin-Bergstrom International Airport,41
CVG,Cincinnati/Northern Kentucky International Airport,40
RSW,Southwest Florida International Airport,39
MSY,Louis Armstrong New Orleans International Airport,38
CLE,Cleveland Hopkins International Airport,36
RDU,Raleigh-Durham International Airport,36
OAK,Oakland International Airport,35
PIT,Pittsburgh International Airport,30
SAT,San Antonio International Airport,30
IND,Indianapolis International Airport,30
ANC,Ted Stevens Anchorage International Airport,30
MKE,General Mitchell International Airport,29
HNL,Honolulu International Airport,28
CMH,Port Columbus International Airport,28
SMF,Sacramento International Airport,27
SJC,Norman Y. Mineta San José International Airport,25
BDL,Bradley International Airport,25
CHS,Charleston International Airport/Charleston AFB,24
PBI,Palm Beach International Airport,24
MEM,Memphis International Airport,23
SJU,Luis Muñoz Marín International Airport,23
ABQ,Albuquerque International Sunport,23
JAX,Jacksonville International Airport,22
SNA,John Wayne Airport (Orange County Airport),22
OKC,Will Rogers World Airport,22
OMA,Eppley Airfield,21
OGG,Kahului Airport,18
TTN,Trenton Mercer Airport,18
TUL,Tulsa International Airport,18
SDF,Louisville International Airport (Standiford Field),18
MSN,Dane County Regional Airport,18
BUF,Buffalo Niagara International Airport,18
RIC,Richmond International Airport,17
MYR,Myrtle Beach International Airport,17
ORF,Norfolk International Airport,17
BOI,Boise Airport (Boise Air Terminal),16
TUS,Tucson International Airport,16
BHM,Birmingham-Shuttlesworth International Airport,15
ALB,Albany International Airport,15
PVD,Theodore Francis Green State Airport,15
GRR,Gerald R. Ford International Airport,15
GSP,Greenville-Spartanburg International Airport,14
ONT,Ontario International Airport,14
DSM,Des Moines International Airport,13
RNO,Reno/Tahoe International Airport,13
ROC,Greater Rochester International Airport,13
JAC,Jackson Hole Airport,13
KOA,Kona International Airport at Keahole,12
BZN,Bozeman Yellowstone International Airport (Gallatin Field Airport),12
GSO,Piedmont Triad International Airport,12
CAK,Akron-Canton Regional Airport,12
PSP,Palm Springs International Airport,12
LGB,Long Beach Airport (Daugherty Field),12
DAY,James M. Cox Dayton International Airport,12
MHT,Manchester-Boston Regional Airport,12
LIT,Bill and Hillary Clinton National Airport (Adams Field),12
ELP,El Paso International Airport,12
STT,Cyril E. King Airport,12
XNA,Northwest Arkansas Regional Airport,11
EGE,Eagle County Regional Airport,11
SYR,Syracuse Hancock International Airport,11
TYS,McGhee Tyson Airport,11
PWM,Portland International Jetport,11
SAV,Savannah/Hilton Head International Airport,11
BUR,Bob Hope Airport (Hollywood Burbank Airport),11
LIH,Lihue Airport,11
ICT,Wichita Dwight D. Eisenhower National Airport (Wichita Mid-Continent Airport),10
MTJ,Montrose Regional Airport,10
HDN,Yampa Valley Airport (Yampa Valley Regional),10
GEG,Spokane International Airport,10
ACY,Atlantic City International Airport,10
