orderid,orderdate,delta
10619,1997-08-04 00:00:00.0,3
10505,1997-04-14 00:00:00.0,3
10801,1997-12-29 00:00:00.0,3
10405,1997-01-06 00:00:00.0,3
10383,1996-12-16 00:00:00.0,3
10643,1997-08-25 00:00:00.0,3
10300,1996-09-09 00:00:00.0,3
10267,1996-07-29 00:00:00.0,3
10548,1997-05-26 00:00:00.0,3
10469,1997-03-10 00:00:00.0,3
10356,1996-11-18 00:00:00.0,3
10412,1997-01-13 00:00:00.0,3
10569,1997-06-16 00:00:00.0,3
10605,1997-07-21 00:00:00.0,3
10289,1996-08-26 00:00:00.0,3
10455,1997-02-24 00:00:00.0,3
10776,1997-12-15 00:00:00.0,3
10250,1996-07-08 00:00:00.0,3
10612,1997-07-28 00:00:00.0,3
10718,1997-10-27 00:00:00.0,3
10490,1997-03-31 00:00:00.0,3
10876,1998-02-09 00:00:00.0,3
10519,1997-04-28 00:00:00.0,3
10735,1997-11-10 00:00:00.0,3
10278,1996-08-12 00:00:00.0,3
10498,1997-04-07 00:00:00.0,3
10362,1996-11-25 00:00:00.0,3
10967,1998-03-23 00:00:00.0,3
10448,1997-02-17 00:00:00.0,3
10476,1997-03-17 00:00:00.0,3
10838,1998-01-19 00:00:00.0,3
11017,1998-04-13 00:00:00.0,3
10760,1997-12-01 00:00:00.0,3
10950,1998-03-16 00:00:00.0,3
10901,1998-02-23 00:00:00.0,3
10390,1996-12-23 00:00:00.0,3
10433,1997-02-03 00:00:00.0,3
10426,1997-01-27 00:00:00.0,3
10262,1996-07-22 00:00:00.0,3
10317,1996-09-30 00:00:00.0,3
10398,1996-12-30 00:00:00.0,3
10533,1997-05-12 00:00:00.0,3
11050,1998-04-27 00:00:00.0,3
10334,1996-10-21 00:00:00.0,3
10660,1997-09-08 00:00:00.0,3
10635,1997-08-18 00:00:00.0,3
10419,1997-01-20 00:00:00.0,3
10345,1996-11-04 00:00:00.0,3
10350,1996-11-11 00:00:00.0,3
11034,1998-04-20 00:00:00.0,3
10651,1997-09-01 00:00:00.0,3
10369,1996-12-02 00:00:00.0,3
10768,1997-12-08 00:00:00.0,3
10917,1998-03-02 00:00:00.0,3
10562,1997-06-09 00:00:00.0,3
10668,1997-09-15 00:00:00.0,3
10934,1998-03-09 00:00:00.0,3
10512,1997-04-21 00:00:00.0,3
10576,1997-06-23 00:00:00.0,3
10710,1997-10-20 00:00:00.0,3
10743,1997-11-17 00:00:00.0,3
11000,1998-04-06 00:00:00.0,3
10284,1996-08-19 00:00:00.0,3
10256,1996-07-15 00:00:00.0,3
10323,1996-10-07 00:00:00.0,3
10598,1997-07-14 00:00:00.0,3
10295,1996-09-02 00:00:00.0,3
10626,1997-08-11 00:00:00.0,3
10312,1996-09-23 00:00:00.0,3
